"渠道","展示名称","配置 ID（保留）","实际 API model ID / 调用标识","固定版本 / 滚动别名","已核对具体版本 / 目录身份","核对日期","核对依据","ID 证据","范围 / 可选状态","说明"
"观猹 TokenDance","GLM 5.2","glm-5.2","glm-5.2","固定性 / 对应版本待确认","GLM 5.2","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","GLM 5.3","glm-5.3","glm-5.3","固定性 / 对应版本待确认","GLM 5.3","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","GLM 5.3 Flash","glm-5.3-flash","glm-5.3-flash","固定性 / 对应版本待确认","GLM 5.3 Flash","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","GLM 5.3 FlashX","glm-5.3-flashx","glm-5.3-flashx","固定性 / 对应版本待确认","GLM 5.3 FlashX","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","GLM 5V Turbo","glm-5v-turbo","glm-5v-turbo","固定性 / 对应版本待确认","GLM 5V Turbo","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Hy3","hy3","hy3","固定性 / 对应版本待确认","Hy3","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Hy3 preview","hy3-preview","hy3-preview","固定性 / 对应版本待确认","Hy3 preview","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Hy4 preview","hy4-preview","hy4-preview","固定性 / 对应版本待确认","Hy4 preview","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Kimi K2.5","kimi-k2.5","kimi-k2.5","固定性 / 对应版本待确认","Kimi K2.5","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Kimi K2.6","kimi-k2.6","kimi-k2.6","固定性 / 对应版本待确认","Kimi K2.6","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Kimi K2.7 Code","kimi-k2.7-code","kimi-k2.7-code","固定性 / 对应版本待确认","Kimi K2.7 Code","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Kimi K3","kimi-k3","kimi-k3","固定性 / 对应版本待确认","Kimi K3","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Ling-3.0-flash","ling-3.0-flash","ling-3.0-flash","固定性 / 对应版本待确认","Ling-3.0-flash","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","LongCat-2.0","longcat-2.0","longcat-2.0","固定性 / 对应版本待确认","LongCat-2.0","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","MiMo-V2.5","mimo-v2.5","mimo-v2.5","固定性 / 对应版本待确认","MiMo-V2.5","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","MiMo-V2.5-Pro","mimo-v2.5-pro","mimo-v2.5-pro","固定性 / 对应版本待确认","MiMo-V2.5-Pro","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","MiniMax M2.5","minimax-m2.5","minimax-m2.5","固定性 / 对应版本待确认","MiniMax M2.5","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","MiniMax M2.7","minimax-m2.7","minimax-m2.7","固定性 / 对应版本待确认","MiniMax M2.7","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","MiniMax M3","minimax-m3","minimax-m3","固定性 / 对应版本待确认","MiniMax M3","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3 30B A3B Instruct 2507","qwen3-30b-a3b-instruct-2507","qwen3-30b-a3b-instruct-2507","固定性 / 对应版本待确认","Qwen3 30B A3B Instruct 2507","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3 Max","qwen3-max","qwen3-max","固定性 / 对应版本待确认","Qwen3 Max","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3 VL Plus","qwen3-vl-plus","qwen3-vl-plus","固定性 / 对应版本待确认","Qwen3 VL Plus","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3.5-35B-A3B","qwen3.5-35b-a3b","qwen3.5-35b-a3b","固定性 / 对应版本待确认","Qwen3.5-35B-A3B","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3.5 Flash","qwen3.5-flash","qwen3.5-flash","固定性 / 对应版本待确认","Qwen3.5 Flash","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3.5 Plus","qwen3.5-plus","qwen3.5-plus","固定性 / 对应版本待确认","Qwen3.5 Plus","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3.6 Max Preview","qwen3.6-max-preview","qwen3.6-max-preview","固定性 / 对应版本待确认","Qwen3.6 Max Preview","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3.6 Plus","qwen3.6-plus","qwen3.6-plus","固定性 / 对应版本待确认","Qwen3.6 Plus","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3.7 Max","qwen3.7-max","qwen3.7-max","固定性 / 对应版本待确认","Qwen3.7 Max","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3.7 Plus","qwen3.7-plus","qwen3.7-plus","固定性 / 对应版本待确认","Qwen3.7 Plus","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3.8 Flash","qwen3.8-flash","qwen3.8-flash","固定性 / 对应版本待确认","Qwen3.8 Flash","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3.8 Max","qwen3.8-max","qwen3.8-max","固定性 / 对应版本待确认","Qwen3.8 Max","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Qwen3.8-Max-0902","qwen3.8-max-0902","qwen3.8-max-0902","固定性 / 对应版本待确认","Qwen3.8-Max-0902","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Seed-2.0-Code","seed-2.0-code","seed-2.0-code","固定性 / 对应版本待确认","Seed-2.0-Code","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Seed-2.0-Lite","seed-2.0-lite","seed-2.0-lite","固定性 / 对应版本待确认","Seed-2.0-Lite","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Seed-2.0-Mini","seed-2.0-mini","seed-2.0-mini","固定性 / 对应版本待确认","Seed-2.0-Mini","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Seed-2.0-Pro","seed-2.0-pro","seed-2.0-pro","固定性 / 对应版本待确认","Seed-2.0-Pro","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Seed-2.1-Pro","seed-2.1-pro","seed-2.1-pro","固定性 / 对应版本待确认","Seed-2.1-Pro","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Seed-2.1-Turbo","seed-2.1-turbo","seed-2.1-turbo","固定性 / 对应版本待确认","Seed-2.1-Turbo","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Seed-Evolving","seed-evolving","seed-evolving","固定性 / 对应版本待确认","Seed-Evolving","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Seedream 5.0 lite","seedream-5.0-lite","seedream-5.0-lite","固定性 / 对应版本待确认","Seedream 5.0 lite","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Seedream 5.0 Pro","seedream-5.0-pro","seedream-5.0-pro","固定性 / 对应版本待确认","Seedream 5.0 Pro","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Spark-X2.5-1.7B","spark-x2.5-1.7b","spark-x2.5-1.7b","固定性 / 对应版本待确认","Spark-X2.5-1.7B","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Spark-X2.5-4B","spark-x2.5-4b","spark-x2.5-4b","固定性 / 对应版本待确认","Spark-X2.5-4B","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Step 3.5 Flash","step-3.5-flash","step-3.5-flash","固定性 / 对应版本待确认","Step 3.5 Flash","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Step 3.7 Flash","step-3.7-flash","step-3.7-flash","固定性 / 对应版本待确认","Step 3.7 Flash","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Step 5 Preview","step-5-preview","step-5-preview","固定性 / 对应版本待确认","Step 5 Preview","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Deep Search S3","unifuncs-s3","unifuncs-s3","固定性 / 对应版本待确认","Deep Search S3","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Deep Search S3 Pro","unifuncs-s3-pro","unifuncs-s3-pro","固定性 / 对应版本待确认","Deep Search S3 Pro","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Deep Research U3","unifuncs-u3","unifuncs-u3","固定性 / 对应版本待确认","Deep Research U3","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"观猹 TokenDance","Deep Research U3 Pro","unifuncs-u3-pro","unifuncs-u3-pro","固定性 / 对应版本待确认","Deep Research U3 Pro","2026-09-21","https://tokendance.space/gateway/v1/models","exact-id","静态可选","精确 SKU 与渠道 name 已核对；未公开更细日期快照或滚动目标，不采用原厂的别名映射。"
"硅基流动","ERNIE-Image-Turbo","baidu/ERNIE-Image-Turbo","baidu/ERNIE-Image-Turbo","固定性 / 对应版本待确认","baidu/ERNIE-Image-Turbo","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","Seed-OSS-36B-Instruct","ByteDance-Seed/Seed-OSS-36B-Instruct","ByteDance-Seed/Seed-OSS-36B-Instruct","固定性 / 对应版本待确认","ByteDance-Seed/Seed-OSS-36B-Instruct","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","公开模型目录嵌入数据的 modelName 字段逐 ID 匹配；具体 SKU 已确认，更细快照或固定性未公开。"
"硅基流动","DeepSeek-R1","deepseek-ai/DeepSeek-R1","deepseek-ai/DeepSeek-R1","固定性 / 对应版本待确认","deepseek-ai/DeepSeek-R1","2026-09-21","https://docs.siliconflow.cn/docs/release-notes/overview","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","DeepSeek-R1-0528-Qwen3-8B","deepseek-ai/DeepSeek-R1-0528-Qwen3-8B","deepseek-ai/DeepSeek-R1-0528-Qwen3-8B","固定性 / 对应版本待确认","deepseek-ai/DeepSeek-R1-0528-Qwen3-8B","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","公开模型目录嵌入数据的 modelName 字段逐 ID 匹配；具体 SKU 已确认，更细快照或固定性未公开。"
"硅基流动","DeepSeek-V3","deepseek-ai/DeepSeek-V3","deepseek-ai/DeepSeek-V3","固定性 / 对应版本待确认","deepseek-ai/DeepSeek-V3","2026-09-21","https://docs.siliconflow.cn/docs/release-notes/overview","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","DeepSeek-V3.1-Terminus","deepseek-ai/DeepSeek-V3.1-Terminus","deepseek-ai/DeepSeek-V3.1-Terminus","固定性 / 对应版本待确认","deepseek-ai/DeepSeek-V3.1-Terminus","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","DeepSeek-V3.2","deepseek-ai/DeepSeek-V3.2","deepseek-ai/DeepSeek-V3.2","固定性 / 对应版本待确认","deepseek-ai/DeepSeek-V3.2","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","DeepSeek-V4-Flash（具体版本待确认）","deepseek-ai/DeepSeek-V4-Flash","deepseek-ai/DeepSeek-V4-Flash","固定性 / 对应版本待确认","deepseek-ai/DeepSeek-V4-Flash","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","DeepSeek-V4-Pro（具体版本待确认）","deepseek-ai/DeepSeek-V4-Pro","deepseek-ai/DeepSeek-V4-Pro","固定性 / 对应版本待确认","deepseek-ai/DeepSeek-V4-Pro","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","Ling-flash-2.0","inclusionAI/Ling-flash-2.0","inclusionAI/Ling-flash-2.0","固定性 / 对应版本待确认","inclusionAI/Ling-flash-2.0","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","公开模型目录嵌入数据的 modelName 字段逐 ID 匹配；具体 SKU 已确认，更细快照或固定性未公开。"
"硅基流动","Ling-mini-2.0","inclusionAI/Ling-mini-2.0","inclusionAI/Ling-mini-2.0","固定性 / 对应版本待确认","inclusionAI/Ling-mini-2.0","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","公开模型目录嵌入数据的 modelName 字段逐 ID 匹配；具体 SKU 已确认，更细快照或固定性未公开。"
"硅基流动","Kolors","Kwai-Kolors/Kolors","Kwai-Kolors/Kolors","固定性 / 对应版本待确认","Kwai-Kolors/Kolors","2026-09-21","https://docs.siliconflow.cn/docs/api/images-generations-post","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","LongCat-2.0","meituan-longcat/LongCat-2.0","meituan-longcat/LongCat-2.0","固定性 / 对应版本待确认","meituan-longcat/LongCat-2.0","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","MiniMax-M2.5","MiniMaxAI/MiniMax-M2.5","MiniMaxAI/MiniMax-M2.5","固定性 / 对应版本待确认","MiniMaxAI/MiniMax-M2.5","2026-09-21","https://docs.siliconflow.cn/docs/release-notes/overview","exact-id","停用身份保留","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","Kimi-K2.7-Code","moonshotai/Kimi-K2.7-Code","moonshotai/Kimi-K2.7-Code","固定性 / 对应版本待确认","moonshotai/Kimi-K2.7-Code","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","Nex-N2-Pro","nex-agi/Nex-N2-Pro","nex-agi/Nex-N2-Pro","固定性 / 对应版本待确认","nex-agi/Nex-N2-Pro","2026-09-21","https://docs.siliconflow.cn/docs/release-notes/overview","exact-id","停用身份保留","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","DeepSeek-R1","Pro/deepseek-ai/DeepSeek-R1","Pro/deepseek-ai/DeepSeek-R1","固定性 / 对应版本待确认","Pro/deepseek-ai/DeepSeek-R1","2026-09-21","https://docs.siliconflow.cn/docs/release-notes/overview","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","DeepSeek-V3","Pro/deepseek-ai/DeepSeek-V3","Pro/deepseek-ai/DeepSeek-V3","固定性 / 对应版本待确认","Pro/deepseek-ai/DeepSeek-V3","2026-09-21","https://docs.siliconflow.cn/docs/release-notes/overview","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","DeepSeek-V3.1-Terminus","Pro/deepseek-ai/DeepSeek-V3.1-Terminus","Pro/deepseek-ai/DeepSeek-V3.1-Terminus","固定性 / 对应版本待确认","Pro/deepseek-ai/DeepSeek-V3.1-Terminus","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","DeepSeek-V3.2","Pro/deepseek-ai/DeepSeek-V3.2","Pro/deepseek-ai/DeepSeek-V3.2","固定性 / 对应版本待确认","Pro/deepseek-ai/DeepSeek-V3.2","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","MiniMax-M2.5","Pro/MiniMaxAI/MiniMax-M2.5","Pro/MiniMaxAI/MiniMax-M2.5","固定性 / 对应版本待确认","Pro/MiniMaxAI/MiniMax-M2.5","2026-09-21","https://docs.siliconflow.cn/docs/release-notes/overview","exact-id","停用身份保留","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","Kimi K2.6","Pro/moonshotai/Kimi-K2.6","Pro/moonshotai/Kimi-K2.6","固定性 / 对应版本待确认","Pro/moonshotai/Kimi-K2.6","2026-09-21","https://docs.siliconflow.cn/docs/userguide/capabilities/vision","exact-id","静态可选","渠道文档未明确固定快照或滚动指向；不从厂商、发布日期或系列名推断。"
"硅基流动","Qwen2.5-7B-Instruct","Pro/Qwen/Qwen2.5-7B-Instruct","Pro/Qwen/Qwen2.5-7B-Instruct","固定性 / 对应版本待确认","Pro/Qwen/Qwen2.5-7B-Instruct","2026-09-21","https://www.siliconflow.cn/models","exact-id","静态可选","公开模型目录嵌入数据的 modelName 字段逐 ID 匹配；具体 SKU 已确认，更细快照或固定性未公开。"
