auditList,provider,id,resolvedId,decision,roles,protocol,regions,imageGeneration,imageEditing,maxReferenceImages,providerMaxReferenceImages,resolutions,refineResolutions,aspectRatios,refineAspectRatios,expirationDate,earliestRetirementDate,reason,source
02-native,openai,gpt-image-1.5,gpt-image-1.5,added,image,openai-images,,True,True,1,16,1K,1K,1:1|3:2|2:3,1:1|3:2|2:3,2026-12-01,,为兼容仍有效的历史配置纳入旧版选择；保留官方 2026-12-01 到期日，到期后迁移至 gpt-image-2。,https://developers.openai.com/api/docs/deprecations
02-native,openai,chatgpt-image-latest,chatgpt-image-latest,added,image,openai-images,,True,True,1,16,1K,1K,1:1|3:2|2:3,1:1|3:2|2:3,2026-12-01,,为兼容仍有效的历史配置纳入旧版选择；保留官方 2026-12-01 到期日，到期后迁移至 gpt-image-2。,https://developers.openai.com/api/docs/deprecations
02-native,openai,gpt-5,gpt-5,excluded,,,,,,,,,,,,,,旧版本将在 2026-12-11 下线；不能仅因目录仍列出就作为长期新增项。,https://developers.openai.com/api/docs/deprecations
02-native,openai,gpt-5-nano,gpt-5-nano,excluded,,,,,,,,,,,,,,旧版本将在 2026-12-11 下线；不能仅因目录仍列出就作为长期新增项。,https://developers.openai.com/api/docs/deprecations
02-native,openai,gpt-5-pro,gpt-5-pro,excluded,,,,,,,,,,,,,,旧版本将在 2026-12-11 下线；不能仅因目录仍列出就作为长期新增项。,https://developers.openai.com/api/docs/deprecations
02-native,openai,o3,o3,excluded,,,,,,,,,,,,,,旧版本将在 2026-12-11 下线；不能仅因目录仍列出就作为长期新增项。,https://developers.openai.com/api/docs/deprecations
02-native,openai,o3-pro,o3-pro,excluded,,,,,,,,,,,,,,旧版本将在 2026-12-11 下线；不能仅因目录仍列出就作为长期新增项。,https://developers.openai.com/api/docs/deprecations
02-native,openai,gpt-4.1-nano,gpt-4.1-nano,excluded,,,,,,,,,,,,,,2026-10-23 下线；o3-mini、GPT-4、GPT-3.5 等不能统一标视觉。,https://developers.openai.com/api/docs/deprecations
02-native,openai,o1,o1,excluded,,,,,,,,,,,,,,2026-10-23 下线；o3-mini、GPT-4、GPT-3.5 等不能统一标视觉。,https://developers.openai.com/api/docs/deprecations
02-native,openai,o1-pro,o1-pro,excluded,,,,,,,,,,,,,,2026-10-23 下线；o3-mini、GPT-4、GPT-3.5 等不能统一标视觉。,https://developers.openai.com/api/docs/deprecations
02-native,openai,o3-mini,o3-mini,excluded,,,,,,,,,,,,,,2026-10-23 下线；o3-mini、GPT-4、GPT-3.5 等不能统一标视觉。,https://developers.openai.com/api/docs/deprecations
02-native,openai,o4-mini,o4-mini,excluded,,,,,,,,,,,,,,2026-10-23 下线；o3-mini、GPT-4、GPT-3.5 等不能统一标视觉。,https://developers.openai.com/api/docs/deprecations
02-native,openai,gpt-4,gpt-4,excluded,,,,,,,,,,,,,,2026-10-23 下线；o3-mini、GPT-4、GPT-3.5 等不能统一标视觉。,https://developers.openai.com/api/docs/deprecations
02-native,openai,gpt-4-turbo,gpt-4-turbo,excluded,,,,,,,,,,,,,,2026-10-23 下线；o3-mini、GPT-4、GPT-3.5 等不能统一标视觉。,https://developers.openai.com/api/docs/deprecations
02-native,openai,gpt-3.5-turbo,gpt-3.5-turbo,excluded,,,,,,,,,,,,,,2026-10-23 下线；o3-mini、GPT-4、GPT-3.5 等不能统一标视觉。,https://developers.openai.com/api/docs/deprecations
02-native,zhipu,glm-5.3,glm-5.3,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-5.1,glm-5.1,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-5-turbo,glm-5-turbo,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-5,glm-5,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4.7,glm-4.7,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4.7-flashx,glm-4.7-flashx,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4.7-flash,glm-4.7-flash,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4.6,glm-4.6,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4.5-air,glm-4.5-air,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4.5-airx,glm-4.5-airx,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4.5-flash,glm-4.5-flash,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4-flash-250414,glm-4-flash-250414,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4-flashx-250414,glm-4-flashx-250414,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方目录/API 枚举仍包含；不能因不是最新旗舰而遗漏。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4-long,glm-4-long,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,独立官方模型页给出 Chat Completions 示例；按文本主模型接入。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-5.3-flash,glm-5.3-flash,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方视觉系列，支持图像输入和文本输出。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4.6v,glm-4.6v,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方视觉系列，支持图像输入和文本输出。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4.6v-flash,glm-4.6v-flash,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方视觉系列，支持图像输入和文本输出。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4.1v-thinking-flashx,glm-4.1v-thinking-flashx,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方视觉系列，支持图像输入和文本输出。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4.1v-thinking-flash,glm-4.1v-thinking-flash,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方视觉系列，支持图像输入和文本输出。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4v-flash,glm-4v-flash,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方视觉系列，支持图像输入和文本输出。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,glm-4.6v-flashx,glm-4.6v-flashx,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,当前 API 枚举包含，总览未完整列出；不要与 glm-4.6v-flash 合并。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,cogview-4-250304,cogview-4-250304,added,image,provider-images,cn,True,False,0,0,1K|2K,1K|2K,1:1|3:2|2:3|4:3|3:4|16:9|9:16,1:1|3:2|2:3|4:3|3:4|16:9|9:16,,,图像 API 枚举支持；只标文生图，不标原生编辑。CogView 尺寸规则不同于 GLM-Image。,https://docs.bigmodel.cn/api-reference/模型-api/图像生成
02-native,zhipu,cogview-4,cogview-4,added,image,provider-images,cn,True,False,0,0,1K|2K,1K|2K,1:1|3:2|2:3|4:3|3:4|16:9|9:16,1:1|3:2|2:3|4:3|3:4|16:9|9:16,,,图像 API 枚举支持；只标文生图，不标原生编辑。CogView 尺寸规则不同于 GLM-Image。,https://docs.bigmodel.cn/api-reference/模型-api/图像生成
02-native,zhipu,cogview-3-flash,cogview-3-flash,added,image,provider-images,cn,True,False,0,0,1K|2K,1K|2K,1:1|3:2|2:3|4:3|3:4|16:9|9:16,1:1|3:2|2:3|4:3|3:4|16:9|9:16,,,图像 API 枚举支持；只标文生图，不标原生编辑。CogView 尺寸规则不同于 GLM-Image。,https://docs.bigmodel.cn/api-reference/模型-api/图像生成
02-native,zhipu,autoglm-phone,autoglm-phone,excluded,,,,,,,,,,,,,,API 中存在，但属于专用任务，不能按通用科研规划模型直接补入。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,zhipu,charglm-4,charglm-4,excluded,,,,,,,,,,,,,,API 中存在，但属于专用任务，不能按通用科研规划模型直接补入。,https://docs.bigmodel.cn/cn/guide/start/model-overview
02-native,xai,grok-4.5,grok-4.5,added,main|vision,openai-responses,,False,False,3,,,,,,,,官方当前目录仍列出，Responses 可覆盖普通请求。,https://docs.x.ai/developers/models
02-native,xai,grok-4.3,grok-4.3,added,main|vision,openai-responses,,False,False,3,,,,,,,,官方当前目录仍列出，Responses 可覆盖普通请求。,https://docs.x.ai/developers/models
02-native,xai,grok-4.20-0309-reasoning,grok-4.20-0309-reasoning,added,main|vision,openai-responses,,False,False,3,,,,,,,,官方当前目录仍列出，Responses 可覆盖普通请求。,https://docs.x.ai/developers/models
02-native,xai,grok-4.20-0309-non-reasoning,grok-4.20-0309-non-reasoning,added,main|vision,openai-responses,,False,False,3,,,,,,,,官方当前目录仍列出，Responses 可覆盖普通请求。,https://docs.x.ai/developers/models
02-native,xai,grok-imagine-image,grok-imagine-image,added,image,provider-images,,True,True,1,3,1K|2K,1K|2K,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|19.5:9|9:19.5|20:9|9:20,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|19.5:9|9:19.5|20:9|9:20,,,1.0 仍单独服务；不要沿用仅 2.0 支持的 quality 参数。,https://docs.x.ai/developers/models
02-native,xai,grok-imagine-image-quality,grok-imagine-image-quality,excluded,,,,,,,,,,,,,,2026-11-02 退役并改路由到 2.0 low；新增价值有限。,https://docs.x.ai/developers/release-notes
02-native,xai,grok-build-0.1,grok-build-0.1,excluded,,,,,,,,,,,,,,早期访问、代码任务专用，账号准入不能由公共目录保证。,https://docs.x.ai/developers/models
02-native,xai,grok-4.20-multi-agent-0309,grok-4.20-multi-agent-0309,excluded,,,,,,,,,,,,,,Beta 多智能体工作流；应明确耗时/调用方式后接入，不混同普通对话。,https://docs.x.ai/developers/models
02-native,recraft,recraftv4_1_utility,recraftv4_1_utility,added,image,provider-images,,True,True,1,1,1K,auto,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,,,,官方仍支持；扩展原生 SVG 白名单，并按版本设置尺寸和操作能力。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv4_1_utility_vector,recraftv4_1_utility_vector,added,image,provider-images,,True,True,1,1,1K,auto,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,,,,官方仍支持；扩展原生 SVG 白名单，并按版本设置尺寸和操作能力。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv4_1_utility_pro,recraftv4_1_utility_pro,added,image,provider-images,,True,True,1,1,2K,auto,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,,,,官方仍支持；扩展原生 SVG 白名单，并按版本设置尺寸和操作能力。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv4_1_utility_pro_vector,recraftv4_1_utility_pro_vector,added,image,provider-images,,True,True,1,1,2K,auto,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,,,,官方仍支持；扩展原生 SVG 白名单，并按版本设置尺寸和操作能力。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv4,recraftv4,added,image,provider-images,,True,True,1,1,1K,auto,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,,,,官方仍支持；扩展原生 SVG 白名单，并按版本设置尺寸和操作能力。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv4_vector,recraftv4_vector,added,image,provider-images,,True,True,1,1,1K,auto,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,,,,官方仍支持；扩展原生 SVG 白名单，并按版本设置尺寸和操作能力。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv4_pro,recraftv4_pro,added,image,provider-images,,True,True,1,1,2K,auto,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,,,,官方仍支持；扩展原生 SVG 白名单，并按版本设置尺寸和操作能力。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv4_pro_vector,recraftv4_pro_vector,added,image,provider-images,,True,True,1,1,2K,auto,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,,,,官方仍支持；扩展原生 SVG 白名单，并按版本设置尺寸和操作能力。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv3,recraftv3,added,image,provider-images,,True,True,1,1,1K,auto,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,,,,官方仍支持；扩展原生 SVG 白名单，并按版本设置尺寸和操作能力。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv3_vector,recraftv3_vector,added,image,provider-images,,True,True,1,1,1K,auto,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,,,,官方仍支持；扩展原生 SVG 白名单，并按版本设置尺寸和操作能力。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv2,recraftv2,added,image,provider-images,,True,False,0,0,1K,1K,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,,,官方仍列出，不应称为已下线；不标图像编辑。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv2_vector,recraftv2_vector,added,image,provider-images,,True,False,0,0,1K,1K,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,1:1|3:2|2:3|4:3|3:4|16:9|9:16|1:2|2:1|4:5|5:4|6:10|14:10|10:14,,,官方仍列出，不应称为已下线；不标图像编辑。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv4_styles,recraftv4_styles,excluded,,,,,,,,,,,,,,需 style_id/风格参考输入，现有流程没有提供。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv4_styles_vector,recraftv4_styles_vector,excluded,,,,,,,,,,,,,,需 style_id/风格参考输入，现有流程没有提供。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv4_styles_pro,recraftv4_styles_pro,excluded,,,,,,,,,,,,,,需 style_id/风格参考输入，现有流程没有提供。,https://www.recraft.ai/docs/api-reference/endpoints
02-native,recraft,recraftv4_styles_pro_vector,recraftv4_styles_pro_vector,excluded,,,,,,,,,,,,,,需 style_id/风格参考输入，现有流程没有提供。,https://www.recraft.ai/docs/api-reference/endpoints
03-siliconflow,siliconflow,zai-org/GLM-5.3,zai-org/GLM-5.3,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen3-ASR-1.7B,Qwen/Qwen3-ASR-1.7B,excluded,,,,,,,,,,,,,,语音、视频、向量或重排序，不放入普通主模型/生图选择器。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,deepseek-ai/DeepSeek-V4-Flash,deepseek-ai/DeepSeek-V4-Flash,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,XingChenAGI/XingChenASR-V3.2-Ultra,XingChenAGI/XingChenASR-V3.2-Ultra,excluded,,,,,,,,,,,,,,语音、视频、向量或重排序，不放入普通主模型/生图选择器。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,XingChenAGI/XingChenASR-Diarize-V3.0,XingChenAGI/XingChenASR-Diarize-V3.0,excluded,,,,,,,,,,,,,,语音、视频、向量或重排序，不放入普通主模型/生图选择器。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,XingChenAGI/XingChenGSR-V1.0,XingChenAGI/XingChenGSR-V1.0,excluded,,,,,,,,,,,,,,语音、视频、向量或重排序，不放入普通主模型/生图选择器。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,XingChenAGI/XingChenASR-V3.2,XingChenAGI/XingChenASR-V3.2,excluded,,,,,,,,,,,,,,语音、视频、向量或重排序，不放入普通主模型/生图选择器。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Pro/zai-org/GLM-5.1,Pro/zai-org/GLM-5.1,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,baidu/ERNIE-Image-Turbo,baidu/ERNIE-Image-Turbo,added,image,provider-images,cn,True,False,0,0,1K,1K,1:1,1:1,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,meituan-longcat/LongCat-2.0,meituan-longcat/LongCat-2.0,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen3.6-35B-A3B,Qwen/Qwen3.6-35B-A3B,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen3.6-27B,Qwen/Qwen3.6-27B,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,deepseek-ai/DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,nex-agi/Nex-N2-Pro,nex-agi/Nex-N2-Pro,excluded,,,,,,,,,,,,,,官方公告 2026-09-11 下线。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,moonshotai/Kimi-K2.7-Code,moonshotai/Kimi-K2.7-Code,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,zai-org/GLM-5.2,zai-org/GLM-5.2,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Pro/moonshotai/Kimi-K2.6,Pro/moonshotai/Kimi-K2.6,covered,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Tongyi-MAI/Z-Image,Tongyi-MAI/Z-Image,added,image,provider-images,cn,True,False,0,0,1K,1K,1:1,1:1,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Tongyi-MAI/Z-Image-Turbo,Tongyi-MAI/Z-Image-Turbo,added,image,provider-images,cn,True,False,0,0,1K,1K,1:1,1:1,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,excluded,,,,,,,,,,,,,,目录虽仍显示 normal，但 deprecatedTime 已过：2026-05-14T16:00:00+00:00；优先按下线公告处理。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,stepfun-ai/Step-3.5-Flash,stepfun-ai/Step-3.5-Flash,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen3.5-35B-A3B,Qwen/Qwen3.5-35B-A3B,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen3.5-4B,Qwen/Qwen3.5-4B,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen3.5-9B,Qwen/Qwen3.5-9B,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,MiniMaxAI/MiniMax-M2.5,MiniMaxAI/MiniMax-M2.5,excluded,,,,,,,,,,,,,,官方公告 2026-09-11 下线。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen3-VL-Reranker-8B,Qwen/Qwen3-VL-Reranker-8B,excluded,,,,,,,,,,,,,,语音、视频、向量或重排序，不放入普通主模型/生图选择器。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen3-VL-Embedding-8B,Qwen/Qwen3-VL-Embedding-8B,excluded,,,,,,,,,,,,,,语音、视频、向量或重排序，不放入普通主模型/生图选择器。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen3.5-27B,Qwen/Qwen3.5-27B,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen3.5-122B-A10B,Qwen/Qwen3.5-122B-A10B,added,main|vision,openai-chat-completions,cn,False,False,3,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen3.5-397B-A17B,Qwen/Qwen3.5-397B-A17B,excluded,,,,,,,,,,,,,,官方公告 2026-09-11 下线。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Pro/MiniMaxAI/MiniMax-M2.5,Pro/MiniMaxAI/MiniMax-M2.5,excluded,,,,,,,,,,,,,,官方公告 2026-09-11 下线。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,PaddlePaddle/PaddleOCR-VL-1.5,PaddlePaddle/PaddleOCR-VL-1.5,excluded,,,,,,,,,,,,,,识别/结构提取模型，不宜作为通用规划主模型。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,deepseek-ai/DeepSeek-V3.2,deepseek-ai/DeepSeek-V3.2,added,main,openai-chat-completions,cn,False,False,0,,,,,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
03-siliconflow,siliconflow,Qwen/Qwen-Image,Qwen/Qwen-Image,covered,image,provider-images,cn,True,False,0,,1K,,1:1|3:2|2:3|4:3|3:4|16:9|9:16,,,,官方公开目录包含；按渠道自身的模态字段登记。,https://www.siliconflow.cn/models
