"渠道","原展示名称","新展示名称","API ID（保持原样）","核对依据"
"火山方舟","Doubao Seed 2.0 Lite (2026-02)","Doubao Seed 2.0 Lite · 260215","doubao-seed-2-0-lite-260215","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","Doubao Seed 2.0 Lite","Doubao Seed 2.0 Lite · 260428","doubao-seed-2-0-lite-260428","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","Doubao Seed 2.0 Mini (2026-02)","Doubao Seed 2.0 Mini · 260215","doubao-seed-2-0-mini-260215","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","Doubao Seed 2.0 Mini","Doubao Seed 2.0 Mini · 260428","doubao-seed-2-0-mini-260428","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","Doubao Seed 2.0 Pro","Doubao Seed 2.0 Pro · 260215","doubao-seed-2-0-pro-260215","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","Doubao Seed 2.1 Pro","Doubao Seed 2.1 Pro · 260628","doubao-seed-2-1-pro-260628","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","Doubao Seed 2.1 Turbo","Doubao Seed 2.1 Turbo · 260628","doubao-seed-2-1-turbo-260628","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","Doubao Seedream 4.0","Doubao Seedream 4.0 · 250828","doubao-seedream-4-0-250828","https://api.volcengine.com/api-docs/view?action=ImageGenerations&serviceCode=ark&version=2024-01-01"
"火山方舟","Doubao Seedream 4.5","Doubao Seedream 4.5 · 251128","doubao-seedream-4-5-251128","https://docs.volcengine.com/docs/82379/1824121?lang=zh"
"火山方舟","Doubao Seedream 5.0","Doubao Seedream 5.0 · 260128","doubao-seedream-5-0-260128","https://docs.volcengine.com/docs/82379/1824121?lang=zh"
"火山方舟","Doubao Seedream 5.0 Pro","Doubao Seedream 5.0 Pro · 260628","doubao-seedream-5-0-pro-260628","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"火山方舟","GLM 5.2","GLM 5.2 · 260617","glm-5-2-260617","https://docs.volcengine.com/docs/ark/model-release-announcement?lang=zh"
"深度求索","DeepSeek-flash","DeepSeek-V4.1-Flash","deepseek-flash","https://api-docs.deepseek.com/quick_start/pricing ; https://api-docs.deepseek.com/updates"
"深度求索","DeepSeek V4 Flash","DeepSeek-V4-Flash（具体版本待确认）","deepseek-v4-flash","https://api-docs.deepseek.com/quick_start/pricing ; https://api-docs.deepseek.com/updates"
"深度求索","DeepSeek V4 Flash Vision Experimental","DeepSeek-V4-Flash-vision-exp","deepseek-v4-flash-vision-exp","https://api-docs.deepseek.com/quick_start/pricing ; https://api-docs.deepseek.com/updates"
"深度求索","DeepSeek V4 Pro","DeepSeek-V4-Pro-0813","deepseek-v4-pro","https://api-docs.deepseek.com/quick_start/pricing ; https://api-docs.deepseek.com/updates"
"Google","Nano Banana","Gemini 2.5 Flash Image · Nano Banana","gemini-2.5-flash-image","https://ai.google.dev/gemini-api/docs/models ; https://ai.google.dev/gemini-api/docs/models#model-versions"
"Google","Nano Banana Pro","Gemini 3 Pro Image · Nano Banana Pro","gemini-3-pro-image","https://ai.google.dev/gemini-api/docs/models ; https://ai.google.dev/gemini-api/docs/models#model-versions"
"Google","Nano Banana 2","Gemini 3.1 Flash Image · Nano Banana 2","gemini-3.1-flash-image","https://ai.google.dev/gemini-api/docs/models ; https://ai.google.dev/gemini-api/docs/models#model-versions"
"Google","Nano Banana 2 Lite","Gemini 3.1 Flash Lite Image · Nano Banana 2 Lite","gemini-3.1-flash-lite-image","https://ai.google.dev/gemini-api/docs/models ; https://ai.google.dev/gemini-api/docs/models#model-versions"
"OpenAI","GPT-3.5-turbo","GPT-3.5-turbo · 0125","gpt-3.5-turbo","https://developers.openai.com/api/docs/models/gpt-3.5-turbo.md"
"OpenAI","GPT-4","GPT-4 · 0613","gpt-4","https://developers.openai.com/api/docs/models/gpt-4.md"
"OpenAI","GPT-4-turbo","GPT-4-turbo · 2024-04-09","gpt-4-turbo","https://developers.openai.com/api/docs/models/gpt-4-turbo.md"
"OpenAI","GPT-4.1","GPT-4.1 · 2025-04-14","gpt-4.1","https://developers.openai.com/api/docs/models/gpt-4.1.md"
"OpenAI","GPT-4.1 Mini","GPT-4.1 Mini · 2025-04-14","gpt-4.1-mini","https://developers.openai.com/api/docs/models/gpt-4.1-mini.md"
"OpenAI","GPT-4.1-nano","GPT-4.1-nano · 2025-04-14","gpt-4.1-nano","https://developers.openai.com/api/docs/models/gpt-4.1-nano.md"
"OpenAI","GPT-4o","GPT-4o · 2024-08-06","gpt-4o","https://developers.openai.com/api/docs/models/gpt-4o.md"
"OpenAI","GPT-4o-mini","GPT-4o-mini · 2024-07-18","gpt-4o-mini","https://developers.openai.com/api/docs/models/gpt-4o-mini.md"
"OpenAI","GPT-5","GPT-5 · 2025-08-07","gpt-5","https://developers.openai.com/api/docs/models/gpt-5.md"
"OpenAI","GPT-5-mini","GPT-5-mini · 2025-08-07","gpt-5-mini","https://developers.openai.com/api/docs/models/gpt-5-mini.md"
"OpenAI","GPT-5-nano","GPT-5-nano · 2025-08-07","gpt-5-nano","https://developers.openai.com/api/docs/models/gpt-5-nano.md"
"OpenAI","GPT-5-pro","GPT-5-pro · 2025-10-06","gpt-5-pro","https://developers.openai.com/api/docs/models/gpt-5-pro.md"
"OpenAI","GPT-5.1","GPT-5.1 · 2025-11-13","gpt-5.1","https://developers.openai.com/api/docs/models/gpt-5.1.md"
"OpenAI","GPT-5.2","GPT-5.2 · 2025-12-11","gpt-5.2","https://developers.openai.com/api/docs/models/gpt-5.2.md"
"OpenAI","GPT-5.2-pro","GPT-5.2-pro · 2025-12-11","gpt-5.2-pro","https://developers.openai.com/api/docs/models/gpt-5.2-pro.md"
"OpenAI","GPT-5.4","GPT-5.4 · 2026-03-05","gpt-5.4","https://developers.openai.com/api/docs/models/gpt-5.4.md"
"OpenAI","GPT-5.4 Mini","GPT-5.4 Mini · 2026-03-17","gpt-5.4-mini","https://developers.openai.com/api/docs/models/gpt-5.4-mini.md"
"OpenAI","GPT-5.4 Nano","GPT-5.4 Nano · 2026-03-17","gpt-5.4-nano","https://developers.openai.com/api/docs/models/gpt-5.4-nano.md"
"OpenAI","GPT-5.4 Pro","GPT-5.4 Pro · 2026-03-05","gpt-5.4-pro","https://developers.openai.com/api/docs/models/gpt-5.4-pro.md"
"OpenAI","GPT-5.5","GPT-5.5 · 2026-04-23","gpt-5.5","https://developers.openai.com/api/docs/models/gpt-5.5.md"
"OpenAI","GPT-5.5 Pro","GPT-5.5 Pro · 2026-04-23","gpt-5.5-pro","https://developers.openai.com/api/docs/models/gpt-5.5-pro.md"
"OpenAI","GPT-image-1.5","GPT-image-1.5 · 2025-12-16","gpt-image-1.5","https://developers.openai.com/api/docs/models/gpt-image-1.5.md"
"OpenAI","GPT Image 2","GPT Image 2 · 2026-04-21","gpt-image-2","https://developers.openai.com/api/docs/models/gpt-image-2.md"
"OpenAI","GPT Image 2.5 Flare","GPT Image 2.5 Flare · 2026-09-08","gpt-image-2.5-flare","https://developers.openai.com/api/docs/models/gpt-image-2.5-flare.md"
"OpenAI","GPT Image 2.5 Sunburst","GPT Image 2.5 Sunburst · 2026-09-08","gpt-image-2.5-sunburst","https://developers.openai.com/api/docs/models/gpt-image-2.5-sunburst.md"
"OpenAI","o1","o1 · 2024-12-17","o1","https://developers.openai.com/api/docs/models/o1.md"
"OpenAI","o1-pro","o1-pro · 2025-03-19","o1-pro","https://developers.openai.com/api/docs/models/o1-pro.md"
"OpenAI","o3","o3 · 2025-04-16","o3","https://developers.openai.com/api/docs/models/o3.md"
"OpenAI","o3-mini","o3-mini · 2025-01-31","o3-mini","https://developers.openai.com/api/docs/models/o3-mini.md"
"OpenAI","o3-pro","o3-pro · 2025-06-10","o3-pro","https://developers.openai.com/api/docs/models/o3-pro.md"
"OpenAI","o4-mini","o4-mini · 2025-04-16","o4-mini","https://developers.openai.com/api/docs/models/o4-mini.md"
"Anthropic","Claude Haiku 4.5","Claude Haiku 4.5 · 20251001","claude-haiku-4-5-20251001","https://platform.claude.com/docs/en/models/overview.md ; https://platform.claude.com/docs/en/about-claude/models/model-ids-and-versions.md"
"Mistral AI","codestral-latest","Codestral · 2508","codestral-latest","https://docs.mistral.ai/models/codestral-25-08 ; https://docs.mistral.ai/inference/model-lifecycle"
"Mistral AI","ministral-14b-latest","Ministral 14B · 2512","ministral-14b-latest","https://docs.mistral.ai/models/ministral-3-14b-25-12 ; https://docs.mistral.ai/inference/model-lifecycle"
"Mistral AI","ministral-3b-latest","Ministral 3B · 2512","ministral-3b-latest","https://docs.mistral.ai/models/ministral-3-3b-25-12 ; https://docs.mistral.ai/inference/model-lifecycle"
"Mistral AI","ministral-8b-latest","Ministral 8B · 2512","ministral-8b-latest","https://docs.mistral.ai/models/ministral-3-8b-25-12 ; https://docs.mistral.ai/inference/model-lifecycle"
"Mistral AI","Mistral Large 3","Mistral Large 3 · mistral-large-2512","mistral-large-2512","https://docs.mistral.ai/models/mistral-large-3-25-12 ; https://docs.mistral.ai/inference/model-lifecycle"
"Mistral AI","mistral-medium-3","Mistral Medium 3.5","mistral-medium-3","https://docs.mistral.ai/models/mistral-medium-3-5-26-04 ; https://docs.mistral.ai/inference/model-lifecycle"
"Mistral AI","mistral-medium-latest","Mistral Medium 3.5","mistral-medium-latest","https://docs.mistral.ai/models/mistral-medium-3-5-26-04 ; https://docs.mistral.ai/inference/model-lifecycle"
"Mistral AI","Mistral Small 4","Mistral Small 4 · mistral-small-2603","mistral-small-2603","https://docs.mistral.ai/models/mistral-small-4-0-26-03 ; https://docs.mistral.ai/inference/model-lifecycle"
"Together AI","DeepSeek V4 Pro 0813","DeepSeek-V4-Pro-0813","deepseek-ai/DeepSeek-V4-Pro-0813","https://docs.together.ai/docs/serverless/models"
"Together AI","SD XL","Stable Diffusion XL Base 1.0","stabilityai/stable-diffusion-xl-base-1.0","https://docs.together.ai/docs/serverless/models"
"Fireworks AI","DeepSeek V4 Pro (0813)","DeepSeek-V4-Pro-0813","accounts/fireworks/models/deepseek-v4-pro-0813","https://app.fireworks.ai/models/fireworks/deepseek-v4-pro-0813"
"Fireworks AI","DeepSeek-v4p1-flash","DeepSeek-V4.1-Flash","accounts/fireworks/models/deepseek-v4p1-flash","https://fireworks.ai/models/deepseek-ai/deepseek-v4p1-flash"
"Fireworks AI","NVIDIA Nemotron 3 Ultra (Preview)","NVIDIA Nemotron 3 Ultra (Preview) · NVFP4","accounts/fireworks/models/nemotron-3-ultra-nvfp4","https://app.fireworks.ai/models/fireworks/nemotron-3-ultra-nvfp4"
"Fireworks AI","Step 3.7 Flash","Step 3.7 Flash · NVFP4","accounts/fireworks/models/step-3p7-flash-nvfp4","https://app.fireworks.ai/models/fireworks/step-3p7-flash-nvfp4"
"fal","v3","Recraft V3","fal-ai/recraft/v3/text-to-image","https://fal.ai/models/fal-ai/recraft/v3/text-to-image/api"
"fal","v4 · pro","Recraft V4 Pro","fal-ai/recraft/v4/pro/text-to-image","https://fal.ai/models/fal-ai/recraft/v3/text-to-image/api ; https://fal.ai/models/fal-ai/recraft/v4/pro/text-to-image/api"
"fal","v2 · large","Krea V2 Large","krea/v2/large/text-to-image","https://fal.ai/models/krea/v2/large/text-to-image/api"
