"checked_at","channel","api_model_id","role","protocol","status","parameters","values_or_budget_limits","defaults","operations","constraints","conflicts","notes","official_sources"
"2026-09-22","zhipu","glm-4.6","main","openai-chat-completions","supported","thinking.type","[{""key"":""mode"",""values"":[""enabled"",""disabled""]}]","[{""field"":""thinking.type"",""default"":""enabled""}]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""仅按官方思考能力列表核对开关；Flash/FlashX/AirX 不继承相邻模型参数。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-5v-turbo","main","openai-chat-completions","supported","thinking.type","[{""key"":""mode"",""values"":[""enabled"",""disabled""]}]","[{""field"":""thinking.type"",""default"":""enabled""}]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""仅按官方思考能力列表核对开关；Flash/FlashX/AirX 不继承相邻模型参数。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-5v-turbo","vision","openai-chat-completions","supported","thinking.type","[{""key"":""mode"",""values"":[""enabled"",""disabled""]}]","[{""field"":""thinking.type"",""default"":""enabled""}]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""仅按官方思考能力列表核对开关；Flash/FlashX/AirX 不继承相邻模型参数。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.6v","main","openai-chat-completions","supported","thinking.type","[{""key"":""mode"",""values"":[""enabled"",""disabled""]}]","[{""field"":""thinking.type"",""default"":""enabled""}]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""仅按官方思考能力列表核对开关；Flash/FlashX/AirX 不继承相邻模型参数。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.6v","vision","openai-chat-completions","supported","thinking.type","[{""key"":""mode"",""values"":[""enabled"",""disabled""]}]","[{""field"":""thinking.type"",""default"":""enabled""}]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""仅按官方思考能力列表核对开关；Flash/FlashX/AirX 不继承相邻模型参数。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.7-flash","main","openai-chat-completions","supported","thinking.type","[{""key"":""mode"",""values"":[""enabled"",""disabled""]}]","[{""field"":""thinking.type"",""default"":""enabled""}]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""精确模型页展示 thinking.type enabled，并链接 GLM4.7 系列轮级开关规则。""]","https://docs.bigmodel.cn/cn/guide/models/free/glm-4.7-flash | https://docs.bigmodel.cn/cn/guide/capabilities/thinking-mode.md"
"2026-09-22","zhipu","glm-4.7-flashx","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.5-air","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.5-airx","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.5-flash","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4-flash-250414","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4-flashx-250414","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4-long","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.6v-flash","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.6v-flash","vision","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.6v-flashx","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.6v-flashx","vision","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.1v-thinking-flash","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.1v-thinking-flash","vision","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.1v-thinking-flashx","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4.1v-thinking-flashx","vision","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4v-flash","main","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-4v-flash","vision","openai-chat-completions","unconfirmed","","[]","[]","[""text""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","cogview-3-flash","image","provider-images","unconfirmed","","[]","[]","[""generation"",""editing""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","cogview-4","image","provider-images","unconfirmed","","[]","[]","[""generation"",""editing""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","cogview-4-250304","image","provider-images","unconfirmed","","[]","[]","[""generation"",""editing""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","zhipu","glm-image","image","provider-images","unconfirmed","","[]","[]","[""generation"",""editing""]","{""neverIncreaseOutputBudget"":true}","[]","[""当前思考文档未按精确 Flash/Air/历史版本 ID 确认可用控制；不按同系列名称外推。""]","https://docs.bigmodel.cn/cn/guide/capabilities/thinking"
"2026-09-22","bailian","deepseek-v4.1-flash","main","bailian-openai-chat","supported","enable_thinking | reasoning_effort","[{""key"":""mode"",""values"":[true,false]},{""key"":""effort"",""values"":[""low"",""high"",""max""]}]","[{""field"":""enable_thinking"",""default"":true},{""field"":""reasoning_effort"",""default"":""high""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""effortRequiresThinking"":true}","[{""when"":{""mode"":false},""forbid"":[""effort""]}]","[]","https://help.aliyun.com/zh/model-studio/deepseek-api"
"2026-09-22","bailian","deepseek-v4.1-flash","vision","bailian-openai-chat","supported","enable_thinking | reasoning_effort","[{""key"":""mode"",""values"":[true,false]},{""key"":""effort"",""values"":[""low"",""high"",""max""]}]","[{""field"":""enable_thinking"",""default"":true},{""field"":""reasoning_effort"",""default"":""high""}]","[""text""]","{""neverIncreaseOutputBudget"":true,""effortRequiresThinking"":true}","[{""when"":{""mode"":false},""forbid"":[""effort""]}]","[]","https://help.aliyun.com/zh/model-studio/deepseek-api"
"2026-09-22","bailian","qwen3.8-max-0902","main","bailian-openai-chat","supported","enable_thinking | reasoning_effort | thinking_budget","[{""key"":""mode"",""values"":[true,false]},{""key"":""effort"",""values"":[""low"",""medium"",""xhigh""]},{""key"":""budget"",""min"":1,""max"":262144}]","[{""field"":""enable_thinking"",""default"":true},{""field"":""reasoning_effort"",""default"":""xhigh""},{""field"":""thinking_budget"",""default"":131072}]","[""text""]","{""neverIncreaseOutputBudget"":true,""outputBudgetRelation"":""separate"",""mutuallyExclusive"":[""effort"",""budget""],""mutuallyExclusiveFields"":[""reasoning_effort"",""thinking_budget""],""budgetRequiresThinking"":true,""effortRequiresThinking"":true,""budgetZeroUnconfirmed"":true}","[{""when"":{""mode"":false},""forbid"":[""effort"",""budget""]},{""type"":""mutually-exclusive"",""keys"":[""effort"",""budget""]},{""type"":""official-doc-conflict"",""field"":""thinking_budget"",""detail"":""映射段落含 0，通用错误文档要求正整数；仅确认正数子区间，最小值 0 不开放。""}]","[""同时设置 effort 和 budget 会报错。全部省略时 budget 默认131072；显式 effort=xhigh 可映射262144，因此 UI 服务商默认不能自动序列化 xhigh。预算范围控件的1是保守接受子区间，不宣称排除0。""]","https://help.aliyun.com/zh/model-studio/deep-thinking | https://help.aliyun.com/zh/model-studio/qwen-api-via-openai-chat-completions | https://help.aliyun.com/zh/model-studio/error-code"
"2026-09-22","bailian","qwen3.8-max-0902","vision","bailian-openai-chat","supported","enable_thinking | reasoning_effort | thinking_budget","[{""key"":""mode"",""values"":[true,false]},{""key"":""effort"",""values"":[""low"",""medium"",""xhigh""]},{""key"":""budget"",""min"":1,""max"":262144}]","[{""field"":""enable_thinking"",""default"":true},{""field"":""reasoning_effort"",""default"":""xhigh""},{""field"":""thinking_budget"",""default"":131072}]","[""text""]","{""neverIncreaseOutputBudget"":true,""outputBudgetRelation"":""separate"",""mutuallyExclusive"":[""effort"",""budget""],""mutuallyExclusiveFields"":[""reasoning_effort"",""thinking_budget""],""budgetRequiresThinking"":true,""effortRequiresThinking"":true,""budgetZeroUnconfirmed"":true}","[{""when"":{""mode"":false},""forbid"":[""effort"",""budget""]},{""type"":""mutually-exclusive"",""keys"":[""effort"",""budget""]},{""type"":""official-doc-conflict"",""field"":""thinking_budget"",""detail"":""映射段落含 0，通用错误文档要求正整数；仅确认正数子区间，最小值 0 不开放。""}]","[""同时设置 effort 和 budget 会报错。全部省略时 budget 默认131072；显式 effort=xhigh 可映射262144，因此 UI 服务商默认不能自动序列化 xhigh。预算范围控件的1是保守接受子区间，不宣称排除0。""]","https://help.aliyun.com/zh/model-studio/deep-thinking | https://help.aliyun.com/zh/model-studio/qwen-api-via-openai-chat-completions | https://help.aliyun.com/zh/model-studio/error-code"
"2026-09-22","bailian","qwen3.8-flash","main","bailian-openai-chat","supported","enable_thinking | reasoning_effort | thinking_budget","[{""key"":""mode"",""values"":[true,false]},{""key"":""effort"",""values"":[""low"",""medium"",""xhigh""]},{""key"":""budget"",""min"":1,""max"":262144}]","[{""field"":""enable_thinking"",""default"":true},{""field"":""reasoning_effort"",""default"":""xhigh""},{""field"":""thinking_budget"",""default"":131072}]","[""text""]","{""neverIncreaseOutputBudget"":true,""outputBudgetRelation"":""separate"",""mutuallyExclusive"":[""effort"",""budget""],""mutuallyExclusiveFields"":[""reasoning_effort"",""thinking_budget""],""budgetRequiresThinking"":true,""effortRequiresThinking"":true,""budgetZeroUnconfirmed"":true}","[{""when"":{""mode"":false},""forbid"":[""effort"",""budget""]},{""type"":""mutually-exclusive"",""keys"":[""effort"",""budget""]},{""type"":""official-doc-conflict"",""field"":""thinking_budget"",""detail"":""映射段落含 0，通用错误文档要求正整数；仅确认正数子区间，最小值 0 不开放。""}]","[""同时设置 effort 和 budget 会报错。全部省略时 budget 默认131072；显式 effort=xhigh 可映射262144，因此 UI 服务商默认不能自动序列化 xhigh。预算范围控件的1是保守接受子区间，不宣称排除0。""]","https://help.aliyun.com/zh/model-studio/deep-thinking | https://help.aliyun.com/zh/model-studio/qwen-api-via-openai-chat-completions | https://help.aliyun.com/zh/model-studio/error-code"
"2026-09-22","bailian","qwen3.8-flash","vision","bailian-openai-chat","supported","enable_thinking | reasoning_effort | thinking_budget","[{""key"":""mode"",""values"":[true,false]},{""key"":""effort"",""values"":[""low"",""medium"",""xhigh""]},{""key"":""budget"",""min"":1,""max"":262144}]","[{""field"":""enable_thinking"",""default"":true},{""field"":""reasoning_effort"",""default"":""xhigh""},{""field"":""thinking_budget"",""default"":131072}]","[""text""]","{""neverIncreaseOutputBudget"":true,""outputBudgetRelation"":""separate"",""mutuallyExclusive"":[""effort"",""budget""],""mutuallyExclusiveFields"":[""reasoning_effort"",""thinking_budget""],""budgetRequiresThinking"":true,""effortRequiresThinking"":true,""budgetZeroUnconfirmed"":true}","[{""when"":{""mode"":false},""forbid"":[""effort"",""budget""]},{""type"":""mutually-exclusive"",""keys"":[""effort"",""budget""]},{""type"":""official-doc-conflict"",""field"":""thinking_budget"",""detail"":""映射段落含 0，通用错误文档要求正整数；仅确认正数子区间，最小值 0 不开放。""}]","[""同时设置 effort 和 budget 会报错。全部省略时 budget 默认131072；显式 effort=xhigh 可映射262144，因此 UI 服务商默认不能自动序列化 xhigh。预算范围控件的1是保守接受子区间，不宣称排除0。""]","https://help.aliyun.com/zh/model-studio/deep-thinking | https://help.aliyun.com/zh/model-studio/qwen-api-via-openai-chat-completions | https://help.aliyun.com/zh/model-studio/error-code"
"2026-09-22","bailian","qwen3.8-27b","main","bailian-openai-chat","supported","enable_thinking | reasoning_effort | thinking_budget","[{""key"":""mode"",""values"":[true,false]},{""key"":""effort"",""values"":[""low"",""medium"",""xhigh""]},{""key"":""budget"",""min"":1,""max"":262144}]","[{""field"":""enable_thinking"",""default"":true},{""field"":""reasoning_effort"",""default"":""xhigh""},{""field"":""thinking_budget"",""default"":131072}]","[""text""]","{""neverIncreaseOutputBudget"":true,""outputBudgetRelation"":""separate"",""mutuallyExclusive"":[""effort"",""budget""],""mutuallyExclusiveFields"":[""reasoning_effort"",""thinking_budget""],""budgetRequiresThinking"":true,""effortRequiresThinking"":true,""budgetZeroUnconfirmed"":true}","[{""when"":{""mode"":false},""forbid"":[""effort"",""budget""]},{""type"":""mutually-exclusive"",""keys"":[""effort"",""budget""]},{""type"":""official-doc-conflict"",""field"":""thinking_budget"",""detail"":""映射段落含 0，通用错误文档要求正整数；仅确认正数子区间，最小值 0 不开放。""}]","[""同时设置 effort 和 budget 会报错。全部省略时 budget 默认131072；显式 effort=xhigh 可映射262144，因此 UI 服务商默认不能自动序列化 xhigh。预算范围控件的1是保守接受子区间，不宣称排除0。""]","https://help.aliyun.com/zh/model-studio/deep-thinking | https://help.aliyun.com/zh/model-studio/qwen-api-via-openai-chat-completions | https://help.aliyun.com/zh/model-studio/error-code"
