API渠道,API ID,研发方,版本性质,地区,角色,协议,输入,输出,官方图数声明,产品图数,生命周期,接入决定,原因,官方来源
商汤 SenseNova,人脸工具,,,null,null,,,,,,"{""status"": ""unknown""}",未上架,专用服务或旧文档工具流程；当前新平台七型号目录无可核验的精确 ID/通用图片合同，不能编造 ID。,https://platform.sensenova.cn/docs ; https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
商汤 SenseNova,超分辨率,,,null,null,,,,,,"{""status"": ""unknown""}",未上架,专用服务或旧文档工具流程；当前新平台七型号目录无可核验的精确 ID/通用图片合同，不能编造 ID。,https://platform.sensenova.cn/docs ; https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
商汤 SenseNova,图像分割,,,null,null,,,,,,"{""status"": ""unknown""}",未上架,专用服务或旧文档工具流程；当前新平台七型号目录无可核验的精确 ID/通用图片合同，不能编造 ID。,https://platform.sensenova.cn/docs ; https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
商汤 SenseNova,擦除,,,null,null,,,,,,"{""status"": ""unknown""}",未上架,专用服务或旧文档工具流程；当前新平台七型号目录无可核验的精确 ID/通用图片合同，不能编造 ID。,https://platform.sensenova.cn/docs ; https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
商汤 SenseNova,扩图,,,null,null,,,,,,"{""status"": ""unknown""}",未上架,专用服务或旧文档工具流程；当前新平台七型号目录无可核验的精确 ID/通用图片合同，不能编造 ID。,https://platform.sensenova.cn/docs ; https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
商汤 SenseNova,风格化,,,null,null,,,,,,"{""status"": ""unknown""}",未上架,专用服务或旧文档工具流程；当前新平台七型号目录无可核验的精确 ID/通用图片合同，不能编造 ID。,https://platform.sensenova.cn/docs ; https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
商汤 SenseNova,局部重绘,,,null,null,,,,,,"{""status"": ""unknown""}",未上架,专用服务或旧文档工具流程；当前新平台七型号目录无可核验的精确 ID/通用图片合同，不能编造 ID。,https://platform.sensenova.cn/docs ; https://www.sensecore.cn/help/docs/model-as-a-service/nova/release
阶跃星辰,step-5-preview,StepFun,unconfirmed,"[""cn"", ""international""]",main/vision,openai-chat,text/image/video,text,60,3,"{""status"": ""listed"", ""retirementDate"": null, ""retirementAt"": null}",True,已适配；模拟验证，真实调用未验证,https://platform.stepfun.com/docs/zh/welcome ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create ; https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/guides/models/vision ; https://platform.stepfun.com/docs/zh/guides/developer/image-chat
阶跃星辰,step-3.7-flash,StepFun,unconfirmed,"[""cn"", ""international""]",main/vision,openai-chat,text/image/video,text,60,3,"{""status"": ""listed"", ""retirementDate"": null, ""retirementAt"": null}",True,已适配；模拟验证，真实调用未验证,https://platform.stepfun.com/docs/zh/welcome ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create ; https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/guides/models/vision ; https://platform.stepfun.com/docs/zh/guides/developer/image-chat
阶跃星辰,step-3.5-flash,StepFun,unconfirmed,"[""cn"", ""international""]",main,openai-chat,text,text,0,0,"{""status"": ""listed"", ""retirementDate"": null, ""retirementAt"": null}",True,已适配；模拟验证，真实调用未验证,https://platform.stepfun.com/docs/zh/welcome ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create ; https://platform.stepfun.com/docs/zh/guides/pricing/details
阶跃星辰,step-3.5-flash-2603,StepFun,unconfirmed,"[""cn"", ""international""]",main,openai-chat,text,text,0,0,"{""status"": ""listed"", ""retirementDate"": null, ""retirementAt"": null}",True,已适配；模拟验证，真实调用未验证,https://platform.stepfun.com/docs/zh/welcome ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create ; https://platform.stepfun.com/docs/zh/guides/pricing/details
阶跃星辰,step-1o-turbo-vision,StepFun,unconfirmed,"[""cn"", ""international""]",main/vision,openai-chat,text/image/video,text,60,3,"{""status"": ""listed"", ""retirementDate"": null, ""retirementAt"": null}",True,已适配；模拟验证，真实调用未验证,https://platform.stepfun.com/docs/zh/welcome ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create ; https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/guides/models/vision ; https://platform.stepfun.com/docs/zh/guides/developer/image-chat
阶跃星辰,step-2x-large,StepFun,unconfirmed,"[""cn"", ""international""]",image-generation/image-editing,stepfun-images-json,text/image,image,1,1,"{""status"": ""scheduled-retirement"", ""retirementDate"": ""2026-10-10"", ""retirementAt"": null, ""timezone"": ""unknown"", ""sourceUrls"": [""https://platform.stepfun.com/docs/zh/guides/image-offline-notice"", ""https://platform.stepfun.ai/docs/en/guides/image-offline-notice""], ""notes"": ""官方明确中国/国际普通 API 与 Step Plan 同日停止；没有给出具体时间或时区，不能伪造时间戳。审计日在下线日期前。"", ""productSubmissionCutoff"": {""at"": ""2026-10-09T16:00:00Z"", ""timezone"": ""Asia/Shanghai"", ""reason"": ""Conservative application policy: China midnight at the provider-announced retirement date; this is not a provider-announced timestamp.""}}",True,已适配；模拟验证，真实调用未验证,https://platform.stepfun.com/docs/zh/guides/models/image ; https://platform.stepfun.com/docs/zh/api-reference/images/image ; https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/guides/image-offline-notice ; https://platform.stepfun.ai/docs/en/guides/image-offline-notice ; https://platform.stepfun.com/docs/zh/api-reference/images/image2image
阶跃星辰,step-image-edit-2,StepFun,unconfirmed,"[""cn"", ""international""]",image-generation/image-editing,stepfun-images-multipart,text/image,image,1,1,"{""status"": ""scheduled-retirement"", ""retirementDate"": ""2026-10-10"", ""retirementAt"": null, ""timezone"": ""unknown"", ""sourceUrls"": [""https://platform.stepfun.com/docs/zh/guides/image-offline-notice"", ""https://platform.stepfun.ai/docs/en/guides/image-offline-notice""], ""notes"": ""官方明确中国/国际普通 API 与 Step Plan 同日停止；没有给出具体时间或时区，不能伪造时间戳。审计日在下线日期前。"", ""productSubmissionCutoff"": {""at"": ""2026-10-09T16:00:00Z"", ""timezone"": ""Asia/Shanghai"", ""reason"": ""Conservative application policy: China midnight at the provider-announced retirement date; this is not a provider-announced timestamp.""}}",True,已适配；模拟验证，真实调用未验证,https://platform.stepfun.com/docs/zh/guides/models/image ; https://platform.stepfun.com/docs/zh/api-reference/images/image ; https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/guides/image-offline-notice ; https://platform.stepfun.ai/docs/en/guides/image-offline-notice ; https://platform.stepfun.com/docs/zh/api-reference/images/edits
阶跃星辰,step-1-8k,,,null,null,,,,,,"{""status"": ""retired"", ""retirementDate"": ""2026-07-08"", ""sourceUrl"": ""https://platform.stepfun.com/docs/zh/guides/model-migration""}",未上架,官方明确退役，保留历史 ID；替代型号仅供人工选择，不自动替换历史配置。,https://platform.stepfun.com/docs/zh/guides/model-migration
阶跃星辰,step-1-32k,,,null,null,,,,,,"{""status"": ""retired"", ""retirementDate"": ""2026-07-08"", ""sourceUrl"": ""https://platform.stepfun.com/docs/zh/guides/model-migration""}",未上架,官方明确退役，保留历史 ID；替代型号仅供人工选择，不自动替换历史配置。,https://platform.stepfun.com/docs/zh/guides/model-migration
阶跃星辰,step-1v-8k,,,null,null,,,,,,"{""status"": ""retired"", ""retirementDate"": ""2026-07-08"", ""sourceUrl"": ""https://platform.stepfun.com/docs/zh/guides/model-migration""}",未上架,官方明确退役，保留历史 ID；替代型号仅供人工选择，不自动替换历史配置。,https://platform.stepfun.com/docs/zh/guides/model-migration
阶跃星辰,step-1v-32k,,,null,null,,,,,,"{""status"": ""retired"", ""retirementDate"": ""2026-07-08"", ""sourceUrl"": ""https://platform.stepfun.com/docs/zh/guides/model-migration""}",未上架,官方明确退役，保留历史 ID；替代型号仅供人工选择，不自动替换历史配置。,https://platform.stepfun.com/docs/zh/guides/model-migration
阶跃星辰,step-2-mini,,,null,null,,,,,,"{""status"": ""retired"", ""retirementDate"": ""2026-07-08"", ""sourceUrl"": ""https://platform.stepfun.com/docs/zh/guides/model-migration""}",未上架,官方明确退役，保留历史 ID；替代型号仅供人工选择，不自动替换历史配置。,https://platform.stepfun.com/docs/zh/guides/model-migration
阶跃星辰,step-1o-vision-32k,,,null,null,,,,,,"{""status"": ""retired"", ""retirementDate"": ""2026-07-08"", ""sourceUrl"": ""https://platform.stepfun.com/docs/zh/guides/model-migration""}",未上架,官方明确退役，保留历史 ID；替代型号仅供人工选择，不自动替换历史配置。,https://platform.stepfun.com/docs/zh/guides/model-migration
阶跃星辰,step-2-16k,,,null,null,,,,,,"{""status"": ""retired"", ""retirementDate"": ""2026-07-08"", ""sourceUrl"": ""https://platform.stepfun.com/docs/zh/guides/model-migration""}",未上架,官方明确退役，保留历史 ID；替代型号仅供人工选择，不自动替换历史配置。,https://platform.stepfun.com/docs/zh/guides/model-migration
阶跃星辰,step-3,,,null,null,,,,,,"{""status"": ""retired"", ""retirementDate"": ""2026-07-08"", ""sourceUrl"": ""https://platform.stepfun.com/docs/zh/guides/model-migration""}",未上架,官方明确退役，保留历史 ID；替代型号仅供人工选择，不自动替换历史配置。,https://platform.stepfun.com/docs/zh/guides/model-migration
阶跃星辰,step-1x-medium,,,null,null,,,,,,"{""status"": ""retired"", ""retirementDate"": ""2026-07-08"", ""sourceUrl"": ""https://platform.stepfun.com/docs/zh/guides/model-migration""}",未上架,官方明确退役，保留历史 ID；替代型号仅供人工选择，不自动替换历史配置。,https://platform.stepfun.com/docs/zh/guides/model-migration
阶跃星辰,step-1x-edit,,,null,null,,,,,,"{""status"": ""retired"", ""retirementDate"": null}",未上架,官方图片下线公告明确已经下线/不可用，但未给出准确退役日期。,https://platform.stepfun.com/docs/zh/guides/image-offline-notice
阶跃星辰,step-gui,,,null,null,,,,,,"{""status"": ""experimental""}",未上架,Model Lab GUI 操作专用；官方不建议生产，单并发且不保证服务，不作为科研主模型。,https://platform.stepfun.com/docs/zh/guides/models/model-lab
阶跃星辰,step-router-v1,,,null,null,,,,,,"{""status"": ""listed""}",未上架,仅 Step Plan，路由 DeepSeek V4 Pro / Step 3.7；官方明确不支持图片理解，不能继承路由后模型视觉能力。,https://platform.stepfun.com/docs/zh/guides/models/step-router ; https://platform.stepfun.com/docs/zh/step-plan/overview
阶跃星辰,deepseek-v4-pro,DeepSeek,,null,null,,,,,,"{""status"": ""listed""}",未上架,Step Router 后端计费引擎，不是公开可指定 model ID；专用入口仅接受 step-router-v1。,https://platform.stepfun.com/docs/zh/step-plan/integrations/reasoning-api
阶跃星辰,stepaudio-3-realtime-preview,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,stepaudio-3-chat-preview,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,stepaudio-2.5-realtime,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,stepaudio-2.5-chat,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,step-1o-audio,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,step-audio-2,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,step-audio-2-mini,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,step-audio-r1.5,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,stepaudio-3-tts,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,stepaudio-2.5-tts,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,step-tts-2,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,step-tts-mini,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,stepaudio-3-gen-preview,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,stepaudio-3-music-preview,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,stepaudio-3-asr-max,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,stepaudio-2.5-asr,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,stepaudio-2.5-asr-stream,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,stepaudio-2-asr-pro,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,step-asr,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,step-asr-1.1,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
阶跃星辰,step-asr-1.1-stream,,,null,null,,,,,,"{""status"": ""listed""}",未上架,语音/音频识别、合成、实时会话或音乐专用；不属于本轮通用科研规划、静态视觉或图像生成/编辑角色。未进行服务权益测试。,https://platform.stepfun.com/docs/zh/guides/pricing/details ; https://platform.stepfun.com/docs/zh/api-reference/chat/chat-completion-create
百度千帆,ernie-5.1,baidu,rolling,"[""cn-account-global-endpoint""]",main,openai-chat,text,text,0,0,"{""status"": ""active"", ""retirementDate"": null, ""retirementTimestamp"": null, ""replacementModelId"": null, ""sourceUrl"": ""https://cloud.baidu.com/doc/qianfan/s/zmh4stou3""}",True,已适配；模拟验证，真实调用未验证,https://cloud.baidu.com/doc/qianfan/s/rmh4stp0j ; https://cloud.baidu.com/doc/qianfan-api/s/3m7of64lb ; https://cloud.baidu.com/doc/qianfan/s/zmh4stou3
百度千帆,ernie-5.0,baidu,rolling,"[""cn-account-global-endpoint""]",main/vision,openai-chat,text/image,text,10,3,"{""status"": ""active"", ""retirementDate"": null, ""retirementTimestamp"": null, ""replacementModelId"": null, ""sourceUrl"": ""https://cloud.baidu.com/doc/qianfan/s/zmh4stou3""}",True,已适配；模拟验证，真实调用未验证,https://cloud.baidu.com/doc/qianfan/s/rmh4stp0j ; https://cloud.baidu.com/doc/qianfan-api/s/3m7of64lb ; https://cloud.baidu.com/doc/qianfan/s/zmh4stou3 ; https://cloud.baidu.com/doc/qianfan-api/s/rm7u7qdiq ; https://cloud.baidu.com/doc/qianfan-docs/s/fm8r1ndsm
百度千帆,ernie-5.0-thinking-preview,baidu,rolling,"[""cn-account-global-endpoint""]",main/vision,openai-chat,text/image,text,10,3,"{""status"": ""preview"", ""retirementDate"": null, ""retirementTimestamp"": null, ""replacementModelId"": null, ""sourceUrl"": ""https://cloud.baidu.com/doc/qianfan/s/zmh4stou3""}",True,已适配；模拟验证，真实调用未验证,https://cloud.baidu.com/doc/qianfan/s/rmh4stp0j ; https://cloud.baidu.com/doc/qianfan-api/s/3m7of64lb ; https://cloud.baidu.com/doc/qianfan/s/zmh4stou3 ; https://cloud.baidu.com/doc/qianfan-api/s/rm7u7qdiq ; https://cloud.baidu.com/doc/qianfan-docs/s/fm8r1ndsm ; https://cloud.baidu.com/doc/qianfan-docs/s/Wm95lyynv
百度千帆,ernie-5.0-thinking-latest,baidu,rolling,"[""cn-account-global-endpoint""]",main/vision,openai-chat,text/image,text,10,3,"{""status"": ""active"", ""retirementDate"": null, ""retirementTimestamp"": null, ""replacementModelId"": null, ""sourceUrl"": ""https://cloud.baidu.com/doc/qianfan/s/zmh4stou3""}",True,已适配；模拟验证，真实调用未验证,https://cloud.baidu.com/doc/qianfan/s/rmh4stp0j ; https://cloud.baidu.com/doc/qianfan-api/s/3m7of64lb ; https://cloud.baidu.com/doc/qianfan/s/zmh4stou3 ; https://cloud.baidu.com/doc/qianfan-api/s/rm7u7qdiq ; https://cloud.baidu.com/doc/qianfan-docs/s/fm8r1ndsm
